Id1,Frequency1,Kanji1,Type1,Meaning1,Meaning2,Meaning3,Bushu1,Bushu2,Bushu3,Bushu4,Radical1,Radical2,Radical3,Radical4,Onyomi_Reading1,Onyomi_Reading2,Kunyomi_Reading1,Kunyomi_Reading2,Mnemonic,Notes
1,2,"一",Kanji,one,,,"一",,,,"horizontal line",,,,ICHI,ITSU,hito.tsu,,"One.m is just a line.r. One ichy.o mustache is a hit.k or.k miss fashion-wise.",
2,9,"二",Kanji,two,,,"ニ",,,,"katakana NI",,,,NI,,futa.tsu,,"Two.m is two.r lines.r. A knee.o and a foot.k, you have two.","This radical never appears by itself, but it is the same shape as katakana NI."
3,14,"三",Kanji,three,,,"一","二",,,one,two,,,SAN,,mi.ttsu,,"Three.m equals one.r plus two.r. Three looks like a san.odwich with meats.k between a pair of buns.",
4,,"囗",Radical,box,,,"囗",,,,square,,,,,,,,"A box.m is square.r-shaped. This radical boxes other radicals inside of it.","This radical never appears by itself, only as a part of other characters."
5,,"丿",Radical,slash,,,"ノ",,,,"katakana NO",,,,,,,,"The slash.m radical looks like katakana.r  ノ.r.","This radical never appears by itself, only as a part of other characters."
6,,"⺃",Radical,hook,,,"⺃",,,,"hook shape",,,,,,,,"The hook.m radical with a hook.r shape.r.","This radical never appears by itself, only as a part of other characters."
7,,"儿",Radical,legs,,,"丿","⺃",,,slash,hook,,,,,,,"A pair of legs.m looks like a slash.r and a hook.r.","This radical never appears by itself, only as a part of other characters."
8,47,"四",Kanji,four,,,"囗","儿",,,box,legs,,,SHI,,yo.tsu,yon,"A four.m sided box.r standing on its legs.r. She.o in particular, worked yon.kder the four hills yo.k.",
9,,T,Radical,"letter T",,,T,,,,"capital T",,,,,,,,"The letter.m T.m radical looks like a capital T.r.","This radical never appears by itself, only as a part of other characters."
10,,"ユ",Radical,yuan,,,"ユ",,,,"katakana YU",,,,,,,,"Yuan.m, the Chinese currency, sounds like katakana.r ユ.r.","This radical never appears by itself, but it is the same shape as katakana YU."
11,31,"五",Kanji,five,,,T,"ユ",,,"letter T",yuan,,,GO,,itsu.tsu,,"Five.m looks like a T.r superimposed on a yuan.r radical. Go.o add 5+5! It's.k hard for me.",
12,,"丶 ",Radical,bloody,,,"丶",,,,dot,,,,,,,,"Bloody.m drops dotted.r my carpet. ","This radical is either 丶, a left-to-right falling, or  ´, a right-to-left falling stroke. Don't confuse it with ノ. "
13,,"亠",Radical,lid,,,"丶 ","一",,,bloody,one,,,,,,,"A barrel lid.m is bloody.r flat with one.r handle.","This radical never appears by itself, only as a part of other characters."
14,93,"六",Kanji,six,,,"亠","八",,,lid,eight,,,ROKU,,mu.ttsu,,"Six.m lids.r aren't enough. Eight.r lids to cover six rocks.o are a must.k!","The kanji for 6, 六, comes before 8, but it uses 8, 八, as a radical."
15,115,"七",Kanji,seven,,,"一","⺃",,,one,hook,,,SHICHI,,nana.tsu,,"Seven.m times, despite only having one.r hook for a leg.r, she.o cheated.o on me with my seventh nanny.k.",
16,92,"八",Kanji,eight,,,"ハ",,,,"katakana HA",,,,HACHI,,ya.ttsu,,"Eight.m looks like katakana ハ.r. Hatch.o eight hatchlings who play yahtzee.k.","It is the same shape as katakana HA."
17,62,"力",Kanji,power,,,"カ","丿","𠃌",,"katakana KA",slash,rake,,RYOKU,,chikara,,"Power.m looks like katakana カ.r. Nuclear reactors.o create power and, like chicks.k, are.k really hot.","Power', 力, can also be analyzed as 'slash',丿, and 'rake', 𠃌."
18,55,"九",Kanji,nine,,,"力","儿",,,power,legs,,,KYUU,KU,kokono.tsu,,"Nine.m powerful.r legs.r are cute.o, cool.o, and kick nine coconuts.k.",
19,1,"日",Kanji,sun,day,,"一","囗",,,one,box,,,NICHI,JITSU,hi,ka,"Every day.m, from the sun.m, I hide in one.r box.r. My niche.o is jiujitsu.o and saying hi.k every day.","This is used to write Japan: 日本. 日 sun/day also means Sunday."
20,483,"白",Kanji,white,,,"丶 ","日",,,bloody,sun,,,HAKU,,shiro.i,,"The white.m bloody.r shirt dried in the sun.r. After hack.oing him, she.k ro.klled up his white shirt.",
